source_id,source_document,source_sha256_prefix,extraction_run,table_name,geography_level,geography_code,area_name,residence,age_group,religion,persons
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,65-69,christian,657583
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,65-69,sikh,596972
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,65-69,buddhist,222174
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,65-69,jain,135810
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,65-69,other,153261
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,all,19208842
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,hindu,15922071
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,muslim,1981615
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,christian,484815
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,sikh,431192
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,buddhist,156029
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,jain,101862
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,70-74,other,96128
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,all,9232503
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,hindu,7640136
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,muslim,878766
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,christian,295335
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,sikh,222010
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-national-extract-v1.0.0-20260530T160533Z,C1500,national,IN,INDIA,total,75-79,buddhist,72423
